resturant,address,rate,rate_count,food,avg_price_for_two,rate_ratio,sector,fod,continental,italian,chicken,desserts,north indian,asian,japanese,fast food,sandwich,bbq,south indian,street food,bakery,cafe,seafood,european,pizza,burger,chinese,ice cream,wraps,biryani,momos,mexican,american,rajasthani,image
Bellagio,"Sector 56, Gurgaon",4.3,1040.0,"european,italian,mughlai,modern indian,salad,desserts",3000.0,66.87301398920195,Sector 56,"continental,italian,chicken,desserts",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/2/308022/8252b7166113ca06dcdd3ec69764375e_featured_v2.jpg
Nowhere Terrace Brewpub Cafe,"Cross Point Mall, DLF Phase 4, Gurgaon",4.2,1801.0,"north indian,asian,continental,sushi,fast food,italian,sandwich",2000.0,86.97240941815974,DLF Phase Phase,"north indian,asian,continental,japanese,fast food,italian,sandwich",1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/3/20698823/7f51b6a023d77e9105677702586eb1a5_featured_v2.jpg
Seasonal Tastes - The Westin Gurgaon,"The Westin Gurgaon, Sector 29, Gurgaon",4.1,1392.0,"north indian,asian,japanese,thai,sushi,sichuan,kebab,desserts",5000.0,75.54601246922302,Sector 29,"north indian,asian,japanese,asian,japanese,chicken,desserts",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/9/7999/00492f608bb87af02095220c46d36f9e_featured_v2.jpg
The Barbeque Times,"Sector 50, Gurgaon",4.2,3318.0,"bbq,south indian,north indian,asian,mughlai,street food,bakery,desserts",1700.0,118.04914230946363,Sector 50,"bbq,south indian,north indian,asian,chicken,street food,bakery,desserts",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/3/20605913/2a6c9057260b2ef2a974a6d8e06d3ff5_featured_v2.jpghttps://b.zmtcdn.com/data/pictures/4/19701744/e88fa82ca2bb00da8ba6740c95bf182f_featured_v2.jpg
VietNom,"Cyber Hub, DLF Cyber City, Gurgaon",4.7,3837.0,"asian,healthy food,desserts,beverages",2200.0,134.29035706259776,DLF Phase Phase,"asian,desserts,cafe",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/5/19320335/1d403dab649727f31cb5069670546642_featured_v2.jpg
Mala - Akbari,Sector 15,4.4,1373.0,"north indian,south indian,seafood,desserts,beverages",1900.0,77.72515680267233,Sector 15,"north indian,south indian,seafood,desserts,cafe",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/9/7999/00492f608bb87af02095220c46d36f9e_featured_v2.jpg
Brewocrat - Brewery Skybar & Kitchen,"Elements One Mall, Sector 49, Gurgaon",4.5,2096.0,"north indian,continental,asian,mediterranean,sushi,pizza,salad,burger",3200.0,97.11848433743188,Sector 49,"north indian,continental,asian,european,japanese,pizza,burger",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/6/20293756/b89a070343ddeaaacba6c07b40f95b62_featured_v2.jpg
Comorin,"DLF Horizon Center, Gurgaon",4.8,1026.0,"finger food,north indian,street food,desserts,beverages",3000.0,70.17691928262454,DLF Phase Phase,"north indian,street food,desserts,cafe",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/3/20522803/ca6af8652dc665a98c18c21fce87f583_featured_v2.jpg
Sutra Gastropub,"Cyber Hub, DLF Cyber City, Gurgaon",4.2,3198.0,"bar food,north indian,asian,continental,italian,beverages",2800.0,115.89477986518634,DLF Phase Phase,"north indian,asian,continental,italian,cafe",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/8/19043958/7f7e676f632cc1a84ae27eea1cd81efa_featured_v2.jpg
Ping's Bia Hoi,"DLF Horizon Center, Gurgaon",4.4,788.0,"chinese,japanese,korean,ice cream",1700.0,58.882934709472494,DLF Phase Phase,"chinese,japanese,asian,ice cream",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/7/18254537/8b0b3f07b8707fac2c7836e496362bb4_featured_v2.jpg
