resturant,rate,rate_count,food,avg_price_for_two,rate_ratio,sector,image,site_url
AB's - Absolute Barbecues,4.3,10002,"north indian,chinese,desserts,salad",1600,207.3851489379121,MGF Metropolis Mall,https://b.zmtcdn.com/data/pictures/0/20520750/70f79f0a26c01fbb7fa684e093321724_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
The Drunken Botanist,4.4,8211,"continental,italian,north indian,asian,chinese,sushi,healthy food,desserts",3000,190.07472214894855,DLF Phase,https://b.zmtcdn.com/data/pictures/7/18254537/8b0b3f07b8707fac2c7836e496362bb4_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
Pirates Of Grill,4.4,7771,"north indian,mughlai,salad,oriental,desserts",3000,184.91187090070773,MGF Mega City Mall,https://b.zmtcdn.com/data/pictures/6/5046/a762f0249216e797a52375c872c03da2_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
Farzi Cafe,4.4,7007,"north indian,fast food,pizza,desserts",2000,175.58701546526726,DLF Phase,https://b.zmtcdn.com/data/pictures/6/20293756/b89a070343ddeaaacba6c07b40f95b62_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
Downtown - Diners & Living Beer Cafe,4.7,5485,"asian,north indian,kebab,rolls,oriental,italian,mughlai,pizza",2800,160.5599576482256,Sector 29,https://b.zmtcdn.com/data/pictures/8/19046158/eac9378e3b7b4ea4edf10d0bf4fd7e80_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
Soi 7 Pub & Brewery,4.2,5925,"chinese,japanese,salad,rolls,seafood,pizza,pasta,beverages",2000,157.7498019016189,DLF Phase,https://b.zmtcdn.com/data/pictures/3/20522803/ca6af8652dc665a98c18c21fce87f583_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
Manhattan Bar & Brewery,4.7,4862,"finger food,north indian,continental,bar food,italian,beverages",1700,151.16679529579238,Golf Course Road,https://b.zmtcdn.com/data/pictures/7/18416827/66e679827c23ac5253cb39e3a0f04ad8_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
Nando's,4.1,4604,"burger,wraps,fast food,desserts,beverages",2500,137.391411667542,DLF Phase,https://b.zmtcdn.com/data/pictures/5/19357095/dab7df70e2f4a57a8efa61d9cd0b0bc3_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
Soda Bottle Opener Wala,4.2,4368,"bar food,north indian,desserts,beverages",1800,135.44593017141565,DLF Phase,https://b.zmtcdn.com/data/pictures/0/18896450/95daba7faed7cdb54376525998c034a8_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
VietNom,4.7,3837,"asian,healthy food,desserts,beverages",2200,134.29035706259776,DLF Phase,https://b.zmtcdn.com/data/pictures/5/19320335/1d403dab649727f31cb5069670546642_featured_v2.jpg,https://www.zomato.com/ncr/open-tap-29-sector-29-gurgaon/info
